video_id,query_billboard_rank,query_artist,query_title,video_title,search_rank,lead_search_term,search_tier,detected_names,detected_genres,detected_inst,detected_place,detected_date,true_audio_content,true_video_content,is_official_video,search_term_estimated_AC,search_term_estimated_VC,STV_prediction_AC_initial,STVA_prediction_AC,STV_prediction_VC,url
cV8GATPTEyc,0,gotye,somebody that i used to know,Somebody that I used to know - Gotye (piano cover + dance),24.0,dance,1,,,piano,,,cover,dance,FALSE,official,dance,official,cover,dance,https://www.youtube.com/watch?v=cV8GATPTEyc
muUafhU4LPk,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (Acoustic Cover By Tim Whybrow),25.0,cover,5,tim,,,,,cover,other,FALSE,cover,live,cover,live,live,https://www.youtube.com/watch?v=muUafhU4LPk
2MQul-1m7q8,0,gotye,somebody that i used to know,Gotye feat. Kimbra - Somebody That I Used To Know (Bastian Van Shield Remix).mp4,25.0,remix,1,van,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=2MQul-1m7q8
hgPZqzH7wAM,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know | Reggae Remix,26.0,remix,1,,reggae,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=hgPZqzH7wAM
beBpk2Bdmww,0,gotye,somebody that i used to know,Gotye (ft.Kimbra)- Somebody that I used to know Lyrics,27.0,lyrics,1,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=beBpk2Bdmww
LoKUcK4zr24,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (Dumme Jungs Remix),27.0,remix,1,,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=LoKUcK4zr24
d9NF2edxy-M,0,gotye,somebody that i used to know,Somebody That I Used to Know - Walk off the Earth,28.0,live,1,,,,,,cover,live,FALSE,live,live,official,live,dance,https://www.youtube.com/watch?v=d9NF2edxy-M
cfeqt_tndwM,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know - traduzione e testo - italiano inglese,37.0,lyrics,1,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=cfeqt_tndwM
gvobs99H4gY,0,gotye,somebody that i used to know,Somebody That I Used To Know (Gotye/Mphazes cover) - JENI,53.0,cover,1,jeni,,,,,cover,other,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=gvobs99H4gY
zuIBUQP83fY,0,gotye,somebody that i used to know,Somebody that I used to know Gotye lyrics,92.0,lyrics,5,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=zuIBUQP83fY
f18lb2M-yg4,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (feat. Kimbra) Guitar tutorial,92.0,tutorial,5,,,guitar,,,cover,live,FALSE,tutorial,tutorial,tutorial,tutorial,tutorial,https://www.youtube.com/watch?v=f18lb2M-yg4
woOje1zB7Iw,0,gotye,somebody that i used to know, Gotye  Somebody That I Used To Know (feat Kimba)  Lesson Guitar Chords Tab For Beginner,94.0,tutorial,5,,,guitar,,,tutorial,tutorial,FALSE,tutorial,tutorial,tutorial,tutorial,tutorial,https://www.youtube.com/watch?v=woOje1zB7Iw
GEJradEcQOA,0,gotye,somebody that i used to know,Somebody That I Used to Know - Gotye (piano),97.0,piano,5,,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=GEJradEcQOA
_LPra4P3obs,0,gotye,somebody that i used to know,Gotye - Somebody that I used to know,101.0,concert,5,,,,,,live,live,FALSE,live,live,official,live,live,https://www.youtube.com/watch?v=_LPra4P3obs
ErFGMBjx0y4,0,gotye,somebody that i used to know,Gotye - Somebody That I Used to Know (Bullwack Remix) HD,102.0,concert,5,,,,,,remix,still,FALSE,live,live,remix,remix,still,https://www.youtube.com/watch?v=ErFGMBjx0y4
xG9dm8uWjMA,0,gotye,somebody that i used to know,Mos Wanted Crew - Somebody That I Used to Know (Abdc Battle Master Mix) - Gotye,103.0,choreo,5,battle,,,,,remix,still,FALSE,official,dance,remix,remix,still,https://www.youtube.com/watch?v=xG9dm8uWjMA
ti5xOvzqGx4,0,gotye,somebody that i used to know,Somebody That I Used To Know-Gotye (Baby Dancing),104.0,dance,5,,,,,,remix,dance,FALSE,official,dance,official,remix,live,https://www.youtube.com/watch?v=ti5xOvzqGx4
9XyULD-Pxgk,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know ft. Kimbra (KDrew Remix) Dance Cover,105.0,dance,5,,,,,,remix,dance,FALSE,official,dance,cover,remix,dance,https://www.youtube.com/watch?v=9XyULD-Pxgk
quGTb1jkcD8,0,gotye,somebody that i used to know,Klangwerk 306 - Somebody that I used to know (Gotye feat. Kimbra Cover),107.0,concert,5,,,,,,cover,live,FALSE,live,live,cover,cover,live,https://www.youtube.com/watch?v=quGTb1jkcD8
-gwKzuAb8Ww,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know - Hyper Crush Remix,107.0,dance,5,,,,,,remix,slides,FALSE,official,dance,remix,remix,still,https://www.youtube.com/watch?v=-gwKzuAb8Ww
8-bXCY6UBK4,0,gotye,somebody that i used to know,#Gotye - Somebody that i used to know (Lyrics)#,110.0,lyrics,5,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=8-bXCY6UBK4
SEYqLrBeKIE,0,gotye,somebody that i used to know,First Steps with Ableton Live.GOTYE-Somebody That I Used To Know (Bootleg),113.0,live,5,,,,,,remix,still,FALSE,live,live,cover,remix,still,https://www.youtube.com/watch?v=SEYqLrBeKIE
YwHnmGxMhqU,0,gotye,somebody that i used to know,SAMARIA - SOMEBODY THAT I USED TO KNOW (GOTYE COVER) LIVE @ CIRCLE C,114.0,live,5,,,,,,cover,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=YwHnmGxMhqU
Ov4Rv_bYPH4,0,gotye,somebody that i used to know,gotye gautier - somebody that I used to know - gauthier  Walk off the Earth lyrics,116.0,lyrics,5,,,,,,remix,other,FALSE,official,lyric,official,remix,live,https://www.youtube.com/watch?v=Ov4Rv_bYPH4
6Ju7btw-BGc,0,gotye,somebody that i used to know,Gotye - Somebody that I used to Know (Olivia Noelle and Corey Gray Cover) on iTunes,119.0,cover,5,olivia noelle corey gray,,,,,cover,other,FALSE,cover,live,cover,live,live,https://www.youtube.com/watch?v=6Ju7btw-BGc
dZxdyRM7auQ,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (ItaloBros remix),124.0,remix,5,,,,,,remix,slides,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=dZxdyRM7auQ
_bRag9rD7a4,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know | Quentin Brodier (Drum Cover),126.0,live,5,quentin,,drum,,,cover,live,FALSE,live,live,cover,cover,live,https://www.youtube.com/watch?v=_bRag9rD7a4
biZKyP15tNw,0,gotye,somebody that i used to know,Somebody That I Used To Know By Gotye Rap Song Remix,141.0,remix,5,song,rap,,,,remix,other,FALSE,remix,still,remix,remix,live,https://www.youtube.com/watch?v=biZKyP15tNw
L6Z9L1VboXs,0,gotye,somebody that i used to know,Gotye - Somebody That I Used to Know - Cover,174.0,karaoke,15,,,,,,cover,live,FALSE,instrumental,karaoke,cover,cover,live,https://www.youtube.com/watch?v=L6Z9L1VboXs
SHPuUrsXKqc,0,gotye,somebody that i used to know,Cuarteto Cadenza - Somebody That I Used To Know (Gotye ft. Kimbra Cover),278.0,dance,15,,,,,,cover,other,FALSE,official,dance,cover,cover,live,https://www.youtube.com/watch?v=SHPuUrsXKqc
VVd_hB0pxW0,0,gotye,somebody that i used to know,Somebody that I used to know by Gotye (cover by Tahereh),287.0,concert,15,,,,,,cover,other,FALSE,live,live,cover,cover,live,https://www.youtube.com/watch?v=VVd_hB0pxW0
tvgYbEZ6drQ,0,gotye,somebody that i used to know,Gotye / Mayday Parade - Somebody That I Used To Know (Acoustic Cover),288.0,karaoke,15,,,,,,cover,live,FALSE,instrumental,karaoke,cover,live,live,https://www.youtube.com/watch?v=tvgYbEZ6drQ
xxhJVobP5n0,0,gotye,somebody that i used to know,Somebody That I Used To Know - Miguel Angel & Barbara (Gotye Cover),291.0,concert,15,miguel angel barbara,,,,,cover,live,FALSE,live,live,cover,cover,live,https://www.youtube.com/watch?v=xxhJVobP5n0
fakmvyY1-G0,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (Starfuckers Remix),293.0,remix,15,,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=fakmvyY1-G0
9fO3H3Dz54U,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (JK Soul remix) - FREE GIFT,300.0,remix,15,,soul,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=9fO3H3Dz54U
WhNOTB_4BGU,0,gotye,somebody that i used to know,Gotye ft Kimbra - Somebody that I used to know - Lyrics,303.0,lyrics,15,,,,,,official,slides,FALSE,official,lyric,official,official,live,https://www.youtube.com/watch?v=WhNOTB_4BGU
OiyAaEbECPM,0,gotye,somebody that i used to know,Somebody That I Used To Know~Gotye~Lyrics,305.0,lyrics,15,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=OiyAaEbECPM
be6SAxBfYOY,0,gotye,somebody that i used to know,Gotye feat. Kimbra - Somebody That I Used To Know (T.R.I. GAMES Remix),307.0,remix,15,,,,,,remix,slides,FALSE,remix,still,live,cover,live,https://www.youtube.com/watch?v=be6SAxBfYOY
g_Bky7oLXL8,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (feat. Tiffany Lamson),307.0,concert,15,tiffany,,,,,live,live,FALSE,live,live,cover,cover,live,https://www.youtube.com/watch?v=g_Bky7oLXL8
SmJRnwntV60,0,gotye,somebody that i used to know,Somebody that I Used to Know - Your Favourite Martian/Gotye Music Video Mashup [HD],311.0,dance,15,,,,,,cover,other,FALSE,official,dance,official,live,live,https://www.youtube.com/watch?v=SmJRnwntV60
GgO3UAmghV4,0,gotye,somebody that i used to know,Gotye - Somebody That I Used To Know (Ben Woolsey 'Djent' Cover),312.0,cover,15,ben,,,,,cover,still,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=GgO3UAmghV4
Ri80Ea3tEEY,0,gotye,somebody that i used to know,Somebody That I Used To Know - Gotye (Cover by @JessDelgado),342.0,cover,15,,,,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=Ri80Ea3tEEY
FpyQ6XgQ4Bk,10,flo rida,wild ones,"How To Play Flo Rida ""Wild Ones"" | Guitar Tutorial (EASY)",1.0,tutorial,0,,,guitar,,,tutorial,tutorial,FALSE,tutorial,tutorial,tutorial,tutorial,tutorial,https://www.youtube.com/watch?v=FpyQ6XgQ4Bk
kHkTtEKCqBY,10,flo rida,wild ones,"Flo Rida performs ""Wild Ones"" at Tribute to The Troops",1.0,live,0,,,,,,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=kHkTtEKCqBY
5jWF0Yaxf2g,10,flo rida,wild ones,Wild Ones Flo Rida ft. Sia Lyrics,1.0,lyrics,0,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=5jWF0Yaxf2g
8T5ybvJTvDY,10,flo rida,wild ones,Flo Rida ft. Sia - Wild Ones Piano by Ray Mak,1.0,piano,0,ray,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=8T5ybvJTvDY
wjMZzEroRhM,10,flo rida,wild ones,Flo Rida feat  Sia   Wild Ones Karaoke,1.0,karaoke,0,,,,,,instrumental,karaoke,FALSE,instrumental,karaoke,instrumental,instrumental,karaoke,https://www.youtube.com/watch?v=wjMZzEroRhM
b8jOgHPeF7Q,10,flo rida,wild ones,Flo Rida Ft. Sia - Wild Ones (Miami Life Remix),1.0,remix,0,,,,miami,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=b8jOgHPeF7Q
v1ySZ1M8Dfc,10,flo rida,wild ones,Wild Ones - Flo Rida ft. Sia - Official Acoustic Music Video - Madilyn Bailey - on iTunes,1.0,cover,0,bailey,,,,,cover,live,FALSE,cover,live,cover,cover,other,https://www.youtube.com/watch?v=v1ySZ1M8Dfc
bpOR_HuHRNs,10,flo rida,wild ones,Flo Rida - Wild Ones ft. Sia [Official Video],1.0,title/artist,0,,,,,,official,official,TRUE,official,official,official,official,official,https://www.youtube.com/watch?v=bpOR_HuHRNs
lp1MRNVTFeM,10,flo rida,wild ones,World Dance Day  | Dance Studio KingStep | Flo Rida - Wild Ones ft. Sia,1.0,dance,0,day,world,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=lp1MRNVTFeM
WiBf3IN24p0,10,flo rida,wild ones,Flo Rida ft. Sia - Wild Ones - Piano Tutorial (Easy Version),2.0,piano,0,,,piano,,,cover,other,FALSE,cover,live,cover,cover,tutorial,https://www.youtube.com/watch?v=WiBf3IN24p0
nOeBGlyz-Ok,10,flo rida,wild ones,Flo Rida feat. Sia - Wild Ones [Lyrics],2.0,lyrics,0,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=nOeBGlyz-Ok
f6TOOPRHsmM,10,flo rida,wild ones,Flo Rida - Wild Ones ft. Sia karaoke,2.0,karaoke,0,,,,,,instrumental,karaoke,FALSE,instrumental,karaoke,instrumental,instrumental,karaoke,https://www.youtube.com/watch?v=f6TOOPRHsmM
9cruQ42rCZs,10,flo rida,wild ones,[HD] Flo Rida - Wild Ones - Today Show Concert,2.0,concert,0,,,,,2015/10/16,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=9cruQ42rCZs
bCB0fe6pSZg,10,flo rida,wild ones,Wild Ones -  Flo Rida ft. Sia [Just Dance Fanmade Mashup],2.0,dance,0,,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=bCB0fe6pSZg
6V3uc_UnbBY,10,flo rida,wild ones,Flo Rida feat. Stayc Reigns - Wild Ones / Whistle (Teen Choice Awards 2012) HD,2.0,live,0,,,whistle,,2012,live,live,FALSE,live,live,live,live,live,https://www.youtube.com/watch?v=6V3uc_UnbBY
hrHNbP0S2m4,10,flo rida,wild ones,Flo Rida - Wild Ones  ft. Sia  ( piano cover ),8.0,piano,1,,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=hrHNbP0S2m4
nW1M5Rw0O9g,10,flo rida,wild ones,Flo Rida Sia - Wild Ones Remix [Reidiculous],12.0,remix,1,,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=nW1M5Rw0O9g
Gf9xg0mSXT0,10,flo rida,wild ones,Flo-Rida Feat. Sia - Wild Ones (David Guetta &  Nicky Romero Remix),14.0,remix,1,david nicky romero,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=Gf9xg0mSXT0
4DUBzpTZEWQ,10,flo rida,wild ones,Flo Rida Ft Sia - Wild Ones LYRICS HQ,14.0,lyrics,1,,,,,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=4DUBzpTZEWQ
QvQiaFIpKAI,10,flo rida,wild ones,Flo Rida ft. Sia - Wild Ones Magyar Magyarul Hungarian Lyrics,18.0,lyrics,1,,,,hungarian,,official,lyric,FALSE,official,lyric,official,official,lyric,https://www.youtube.com/watch?v=QvQiaFIpKAI
jeFRnIy0hp4,10,flo rida,wild ones,"Flo Rida - New Album ""Wild Ones"" Digi Mash-Up (Official Audio)",19.0,title/artist,1,,,,,,remix,other,FALSE,official,official,cover,cover,still,https://www.youtube.com/watch?v=jeFRnIy0hp4
9e07OKgTGmM,10,flo rida,wild ones,Guitar Cover: Wild Ones - Flo Rida feat Sia,19.0,guitar,1,,,guitar,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=9e07OKgTGmM
g76aol9IvXY,10,flo rida,wild ones,[Flo Rida - Wild Ones ft. Sia] [156] Dj.kant Remix,19.0,remix,1,,,,,,remix,still,FALSE,remix,still,remix,remix,still,https://www.youtube.com/watch?v=g76aol9IvXY
B0zH5EWiKNY,10,flo rida,wild ones,Dance Central 3 Flo Rida Wild Ones Easy Gameplay Walkthrough Xbox 360,20.0,dance,1,,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=B0zH5EWiKNY
Qnr7LHNLDU8,10,flo rida,wild ones,Flo Rida- Wild Ones SIA ONLY Edit,21.0,karaoke,1,,,,,,official,still,FALSE,instrumental,karaoke,remix,remix,still,https://www.youtube.com/watch?v=Qnr7LHNLDU8
6F044lCfrk8,10,flo rida,wild ones,Wild Ones - Flo Rida Piano Tribute,21.0,piano,1,,,piano,,,cover,slides,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=6F044lCfrk8
lmollKmfI7c,10,flo rida,wild ones,Wild Ones Flo Rida - Dance routine,21.0,dance,1,,,,,,official,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=lmollKmfI7c
Ge0Xx_5vdNI,10,flo rida,wild ones,Flo Rida feat. Sia - Wild Ones (America's Best Dance Crew Season 7 Performance),22.0,dance,1,best season,,,america,,live,dance,FALSE,official,dance,official,official,dance,https://www.youtube.com/watch?v=Ge0Xx_5vdNI
-LJrycuRoSk,10,flo rida,wild ones,Flo Rida Ft Sia - Wild Ones (MTWO Dubstep Remix),22.0,title/artist,1,,dubstep,,,,remix,still,FALSE,official,official,remix,remix,still,https://www.youtube.com/watch?v=-LJrycuRoSk
pv8kPoQc4Xw,10,flo rida,wild ones,Flo Rida | Wild Ones (feat.Sia) Guitar Cover | In 1080p HD,22.0,guitar,1,,,guitar,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=pv8kPoQc4Xw
9hZ0xGLnL1c,10,flo rida,wild ones,Flo Rida feat. Sia - Wild Ones (Piano Version/Cover),22.0,piano,1,,,piano,,,cover,live,FALSE,cover,live,cover,cover,live,https://www.youtube.com/watch?v=9hZ0xGLnL1c
